character,index
<pad>,0
<unk>,1
<sos>,2
<eos>,3
 ,4
්,5
න,6
ි,7
ව,8
ක,9
ය,10
ම,11
ත,12
ා,13
ර,14
ු,15
ස,16
ද,17
ෙ,18
ප,19
ල,20
ේ,21
හ,22
ට,23
ග,24
ැ,25
බ,26
අ,27
.,28
ී,29
ො,30
එ,31
‍,32
ණ,33
ළ,34
ඩ,35
ශ,36
ෝ,37
ධ,38
ජ,39
ඇ,40
ඉ,41
ං,42
ඔ,43
ූ,44
ඒ,45
උ,46
ආ,47
ඳ,48
ච,49
ෂ,50
භ,51
ෑ,52
ථ,53
?,54
ඟ,55
ඹ,56
",",57
ඕ,58
ෘ,59
ෞ,60
ඊ,61
ඛ,62
‌,63
ඝ,64
ෛ,65
ෆ,66
ඨ,67
ඥ,68
ඬ,69
ඡ,70
ඵ,71
!,72
ඈ,73
ඤ,74
ඌ,75
',76
0,77
1,78
ඓ,79
"""",80
2,81
ඞ,82
4,83
3,84
5,85
”,86
“,87
8,88
9,89
6,90
ඍ,91
ඖ,92
’,93
‘,94
ඣ,95
ඪ,96
7,97
ෲ,98
ඃ,99
–,100
